HCPCS,MOD,DESCRIPTION,STATUS CODE,WORK RVU,NON-FAC PE RVU,NON-FAC NA INDICATOR,FACILITY PE RVU,FACILITY NA INDICATOR,MP RVU,NON-FACILITY TOTAL,FACILITY TOTAL,PCTC IND,GLOB DAYS,PRE OP,INTRA OP,POST OP,MULT PROC,BILAT SURG,ASST SURG,CO-SURG,TEAM SURG,ENDO BASE,CONV FACTOR,PHYSICIAN SUPERVISION OF DIAGNOSTIC PROCEDURES,CALCULATION FLAG,DIAGNOSTIC IMAGING FAMILY INDICATOR,PE USED FOR OPPS PAYMENT AMOUNT,PE USED FOR OPPS PAYMENT AMOUNT,MP USED FOR OPPS PAYMENT AMOUNT
A4281,,Replacement breastpump tube,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4282,,Replacement breastpump adpt,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4283,,Replacement breastpump cap,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4284,,Replcmnt breast pump shield,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4285,,Replcmnt breast pump bottle,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4286,,Replcmnt breastpump lok ring,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4290,,Sacral nerve stim test lead,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4300,,Cath impl vasc access portal,B,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4301,,Implantable access syst perc,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4305,,Drug delivery system >=50 ml,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4306,,Drug delivery system <=50 ml,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4310,,Insert tray w/o bag/cath,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4311,,Catheter w/o bag 2-way latex,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4312,,Cath w/o bag 2-way silicone,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4313,,Catheter w/bag 3-way,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4314,,Cath w/drainage 2-way latex,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4315,,Cath w/drainage 2-way silcne,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4316,,Cath w/drainage 3-way,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4320,,Irrigation tray,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4321,,Cath therapeutic irrig agent,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4322,,Irrigation syringe,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4326,,Male external catheter,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4327,,Fem urinary collect dev cup,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4328,,Fem urinary collect pouch,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4330,,Stool collection pouch,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4331,,Extension drainage tubing,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4332,,Lube sterile packet,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4333,,Urinary cath anchor device,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4334,,Urinary cath leg strap,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4335,,Incontinence supply,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4336,,Urethral insert,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4337,,Incontinent rectal insert,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4338,,Indwelling catheter latex,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4340,,Indwelling catheter special,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4344,,Cath indw foley 2 way silicn,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4346,,Cath indw foley 3 way,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4349,,Disposable male external cat,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4351,,Straight tip urine catheter,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4352,,Coude tip urinary catheter,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4353,,Intermittent urinary cath,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4354,,Cath insertion tray w/bag,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4355,,Bladder irrigation tubing,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4356,,Ext ureth clmp or compr dvc,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4357,,Bedside drainage bag,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4358,,Urinary leg or abdomen bag,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4360,,Disposable ext urethral dev,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4361,,Ostomy face plate,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4362,,Solid skin barrier,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4363,,"Ostomy clamp, replacement",X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4364,,"Adhesive, liquid or equal",P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4366,,Ostomy vent,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4367,,Ostomy belt,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4368,,Ostomy filter,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4369,,Skin barrier liquid per oz,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4371,,Skin barrier powder per oz,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4372,,Skin barrier solid 4x4 equiv,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4373,,Skin barrier with flange,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4375,,Drainable plastic pch w fcpl,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4376,,Drainable rubber pch w fcplt,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4377,,Drainable plstic pch w/o fp,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4378,,Drainable rubber pch w/o fp,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4379,,Urinary plastic pouch w fcpl,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4380,,Urinary rubber pouch w fcplt,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4381,,Urinary plastic pouch w/o fp,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4382,,Urinary hvy plstc pch w/o fp,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4383,,Urinary rubber pouch w/o fp,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4384,,Ostomy faceplt/silicone ring,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4385,,Ost skn barrier sld ext wear,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4387,,Ost clsd pouch w att st barr,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4388,,Drainable pch w ex wear barr,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4389,,Drainable pch w st wear barr,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4390,,Drainable pch ex wear convex,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4391,,Urinary pouch w ex wear barr,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4392,,Urinary pouch w st wear barr,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4393,,Urine pch w ex wear bar conv,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4394,,Ostomy pouch liq deodorant,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4395,,Ostomy pouch solid deodorant,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4396,,Peristomal hernia supprt blt,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4397,,Irrigation supply sleeve,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4398,,Ostomy irrigation bag,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4399,,Ostomy irrig cone/cath w brs,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4400,,Ostomy irrigation set,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4402,,Lubricant per ounce,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4404,,Ostomy ring each,P,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4405,,Nonpectin based ostomy paste,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4406,,Pectin based ostomy paste,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4407,,"Ext wear ost skn barr <=4sq""",X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4408,,"Ext wear ost skn barr >4sq""",X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4409,,Ost skn barr convex <=4 sq i,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4410,,Ost skn barr extnd >4 sq,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4411,,Ost skn barr extnd =4sq,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
A4412,,Ost pouch drain high output,X,0,0,,0,,0,0,0,9,XXX,0,0,0,9,9,9,9,9,,35.9996,9,0,99,0,0,0
