Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Average Spending Per Beneficiary
Amino Acids ,Parenteral Amino Acid 15% No.1 ,1,"$15,463.89","309,321",221,19,$0.05,$69.97,$813.89
Aminocaproic Acid ,Aminocaproic Acid ,1,"$146,416.27","28,793",479,347,$6.27,$305.67,$421.95
Aminosyn II ,Parenteral Amino Acid 15% No.2 ,1,"$8,924.52","214,023",134,  ,$0.04,$66.60,  
Amiodarone HCl ,Amiodarone HCl ,8,"$57,682,596.81","131,976,677","2,588,706","602,863",$0.46,$22.28,$95.68
Amitiza ,Lubiprostone ,1,"$270,658,991.00","48,780,742","835,346","187,593",$5.55,$324.01,"$1,442.80"
Amitriptyline HCl ,Amitriptyline HCl ,7,"$87,881,625.89","230,418,051","3,917,455","763,017",$0.41,$22.43,$115.18
Amlodipine Besylate ,Amlodipine Besylate ,27,"$255,902,009.47","2,128,789,240","38,001,143","7,717,250",$0.12,$6.73,$33.16
Amlodipine Besylate-Benazepril ,Amlodipine Besylate/Benazepril ,9,"$76,885,443.00","127,637,872","2,170,307","419,425",$0.60,$35.43,$183.31
Amlodipine-Atorvastatin ,Amlodipine/Atorvastatin ,4,"$36,073,847.87","7,936,969","125,745","28,833",$4.55,$286.88,"$1,251.13"
Amlodipine-Valsartan ,Amlodipine/Valsartan ,7,"$31,934,260.33","21,478,824","403,814","80,622",$1.48,$79.08,$396.10
Amlodipine-Valsartan-HCTZ ,Amlodipine/Valsartan/HCThiazid ,5,"$24,391,632.25","6,764,166","130,548","27,123",$3.61,$186.84,$899.30
Ammonium Lactate ,Ammonium Lactate ,3,"$21,166,125.22","271,364,612","883,626","370,768",$0.08,$23.95,$57.09
Amnesteem ,Isotretinoin ,1,"$183,211.88","27,776",618,349,$6.59,$296.46,$524.96
Amoxapine ,Amoxapine ,1,"$749,675.66","911,338","12,156","1,933",$0.84,$61.67,$387.83
Amoxicillin ,Amoxicillin ,10,"$31,178,171.59","161,184,472","6,913,847","4,833,260",$0.20,$4.51,$6.45
Amoxicillin-Clavulanate Pot ER ,Amoxicillin/Potassium Clav ,2,"$1,971,587.70","572,374","19,416","16,092",$3.44,$101.54,$122.52
Amoxicillin-Clavulanate Potass ,Amoxicillin/Potassium Clav ,7,"$57,537,127.59","82,829,355","3,956,710","3,050,653",$0.72,$14.54,$18.86
Amphotericin B ,Amphotericin B ,1,"$293,970.76","324,020","1,410",433,$0.91,$208.49,$678.92
Ampicillin Sodium ,Ampicillin Sodium ,6,"$1,976,882.43","2,791,165","10,724","2,179",$6.32,$184.34,$907.24
Ampicillin Trihydrate ,Ampicillin Trihydrate ,2,"$1,211,175.63","5,385,695","173,732","124,603",$0.23,$6.97,$9.72
Ampicillin-Sulbactam ,Ampicillin Sodium/Sulbactam Na ,8,"$1,698,260.44","2,917,827","11,478","2,929",$0.77,$147.96,$579.81
Ampyra ,Dalfampridine ,1,"$206,304,513.15","6,129,028","88,413","12,601",$33.66,"$2,333.42","$16,372.07"
Amrix ,Cyclobenzaprine HCl ,1,"$7,578,683.48","251,929","6,605","1,990",$30.10,"$1,147.42","$3,808.38"
Ana-Lex ,Hydrocortisone/Lidocaine/Aloe ,1,"$28,953.58",191,105,63,$151.59,$275.75,$459.58
Anadrol-50 ,Oxymetholone ,1,"$900,652.97","22,538",329,49,$39.96,"$2,737.55","$18,380.67"
Anafranil ,Clomipramine HCl ,1,"$1,493,628.40","51,071",504,81,$29.21,"$2,963.55","$18,439.86"
Anagrelide HCl ,Anagrelide HCl ,1,"$8,594,016.08","4,450,582","42,968","7,515",$2.01,$200.01,"$1,143.58"
Analpram HC ,Hydrocortisone/Pramoxine ,1,"$15,604.88","2,787",87,75,$5.60,$179.37,$208.07
Anaprox Ds ,Naproxen Sodium ,1,"$49,875.81","10,914",136,47,$4.57,$366.73,"$1,061.19"
Anaspaz ,Hyoscyamine Sulfate ,1,"$13,491.25","62,562",725,409,$0.22,$18.61,$32.99
Anastrozole ,Anastrozole ,15,"$24,637,394.38","72,553,098","1,366,643","276,834",$0.34,$18.03,$89.00
Androderm ,Testosterone ,1,"$18,233,502.20","1,389,464","32,329","8,539",$13.30,$564.00,"$2,135.32"
Androgel ,Testosterone ,1,"$242,810,652.94","38,218,176","309,024","76,603",$6.59,$785.73,"$3,169.73"
Androxy ,Fluoxymesterone ,1,"$86,068.52","20,034",303,92,$4.30,$284.05,$935.53
Angeliq ,Drospirenone/Estradiol ,1,"$222,413.16","52,060","1,142",278,$4.38,$194.76,$800.05
Anoro Ellipta ,Umeclidinium Brm/Vilanterol Tr ,1,"$180,437,408.96","34,261,539","488,531","131,225",$5.27,$369.35,"$1,375.02"
Antabuse ,Disulfiram ,1,"$22,978.12","3,454",66,25,$6.65,$348.15,$919.12
Antara ,"Fenofibrate,Micronized ",1,"$1,408,605.78","94,208","2,039",723,$15.14,$690.83,"$1,948.28"
Anusol-HC ,Hydrocortisone ,1,"$212,261.45","73,142","2,190","1,797",$2.90,$96.92,$118.12
Apexicon E ,Diflorasone Diacetate/Emoll ,1,"$856,076.29","62,375","1,148",752,$13.72,$745.71,"$1,138.40"
Apidra ,Insulin Glulisine ,1,"$13,657,430.07","570,590","21,468","5,796",$23.94,$636.18,"$2,356.35"
Apidra Solostar ,Insulin Glulisine ,1,"$26,595,241.64","863,216","36,626","11,586",$30.81,$726.13,"$2,295.46"
Aplenzin ,Bupropion HBr ,1,"$7,195,629.34","86,923","2,096",350,$84.36,"$3,433.03","$20,558.94"
Apokyn ,Apomorphine HCl ,1,"$59,962,870.09","177,162","2,913",923,$338.46,"$20,584.58","$64,965.19"
Apraclonidine HCl ,Apraclonidine HCl ,2,"$464,384.74","39,993","5,279","1,814",$11.61,$87.97,$256.00
Apri ,Desogestrel-Ethinyl Estradiol ,1,"$231,705.97","423,797","11,129","1,990",$0.55,$20.82,$116.44
Apriso ,Mesalamine ,1,"$71,187,571.46","20,652,848","145,704","26,830",$3.45,$488.58,"$2,653.28"
Aptiom ,Eslicarbazepine Acetate ,1,"$39,273,336.05","1,578,082","37,963","5,136",$25.05,"$1,034.52","$7,646.68"
Aptivus ,Tipranavir ,1,"$3,055,559.84","259,652","2,119",244,$11.77,"$1,441.98","$12,522.79"
Aralast NP ,Alpha-1-Proteinase Inhibitor ,1,"$36,561,363.58","68,289,824","4,392",339,$0.54,"$8,324.54","$107,850.63"
Aranelle ,Norethindrone-Ethinyl Estrad ,1,"$23,464.44","26,880",743,125,$0.87,$31.58,$187.72
Aranesp ,Darbepoetin Alfa In Polysorbat ,1,"$48,802,377.78","32,805","35,438","7,516","$1,545.23","$1,377.12","$6,493.13"
Arava ,Leflunomide ,1,"$1,623,535.25","43,688",948,204,$37.16,"$1,712.59","$7,958.51"
Arcalyst ,Rilonacept ,1,"$1,205,973.12",236,59,11,"$5,110.06","$20,440.22","$109,633.92"
Arcapta Neohaler ,Indacaterol Maleate ,1,"$2,013,337.71","288,630","6,831","1,725",$6.98,$294.74,"$1,167.15"
Arestin ,Minocycline HCl Microspheres ,1,"$7,964,336.28","81,256","3,552","3,414",$98.02,"$2,242.21","$2,332.85"
Aricept ,Donepezil HCl ,1,"$7,763,561.13","491,492","10,828","2,244",$15.77,$716.99,"$3,459.70"
Arimidex ,Anastrozole ,1,"$3,064,181.12","199,199","4,224",843,$15.38,$725.42,"$3,634.85"
Aripiprazole ,Aripiprazole ,9,"$1,027,605,763.30","87,142,170","2,627,814","405,936",$11.91,$391.05,"$2,531.45"
Aripiprazole ODT ,Aripiprazole ,1,"$1,135,704.21","37,910","1,084",374,$29.96,"$1,047.70","$3,036.64"
Aristada ,Aripiprazole Lauroxil ,1,"$28,686,487.75","41,638","15,254","3,232",$688.72,"$1,880.59","$8,875.77"
Arixtra ,Fondaparinux Sodium ,1,"$423,694.59","1,956",100,43,$216.61,"$4,236.95","$9,853.36"
Armour Thyroid ,"Thyroid,Pork ",1,"$10,123,230.62","14,909,391","236,850","54,171",$0.70,$42.74,$186.88
Arnuity Ellipta ,Fluticasone Furoate ,1,"$6,874,641.46","1,188,439","33,604","11,684",$5.78,$204.58,$588.38
Aromasin ,Exemestane ,1,"$2,915,813.20","112,049","2,446",521,$26.02,"$1,192.07","$5,596.57"
Arthrotec 50 ,Diclofenac Sodium/Misoprostol ,1,"$568,226.98","96,296","1,099",267,$5.90,$517.04,"$2,128.19"
Arthrotec 75 ,Diclofenac Sodium/Misoprostol ,1,"$1,720,941.58","292,854","3,355",794,$5.88,$512.95,"$2,167.43"
Asacol Hd ,Mesalamine ,1,"$114,729,405.26","16,219,673","116,717","24,174",$7.07,$982.97,"$4,745.98"
Ascomp With Codeine ,Codeine/Butalbital/Asa/Caffein ,1,"$1,950,606.81","1,345,126","15,915","3,516",$1.45,$122.56,$554.78
Ashlyna ,L-Norgest/E.Estradiol-E.Estrad ,1,"$159,771.71","96,958","1,067",491,$1.65,$149.74,$325.40
Asmanex ,Mometasone Furoate ,1,"$61,644,079.60","306,295","222,293","65,710",$201.47,$277.31,$938.12
Asmanex HFA ,Mometasone Furoate ,1,"$6,716,895.84","464,472","30,105","13,964",$14.43,$223.12,$481.02
Aspirin-Caffeine-Dihydrocodein ,Aspirin/Caffein/Dihydrocodeine ,1,"$13,925.86","9,396",88,38,$1.48,$158.25,$366.47
Aspirin-Dipyridamole ER ,Aspirin/Dipyridamole ,2,"$156,345,440.07","31,109,108","374,538","70,073",$5.03,$417.44,"$2,231.18"
Assure Id Insulin Safety ,"Syringe,Needle,Insuln,Safe,1ml ",1,"$2,516.80","7,710",222,33,$0.33,$11.34,$76.27
Assure Id Insulin Safety ,"Syringe,Needle,Insuln,Sf 0.5ml ",1,"$19,330.83","60,527","1,648",198,$0.32,$11.73,$97.63
Astagraf XL ,Tacrolimus ,1,"$311,470.87","50,108",616,92,$7.83,$505.63,"$3,385.55"
Astepro ,Azelastine HCl ,1,"$852,411.71","173,211","4,914","1,883",$4.92,$173.47,$452.69
Atacand ,Candesartan Cilexetil ,1,"$3,112,250.79","875,141","15,562","3,583",$3.61,$199.99,$868.62
Atacand HCT ,Candesartan/Hydrochlorothiazid ,1,"$1,081,693.78","248,161","4,807",989,$4.36,$225.02,"$1,093.72"
Atelvia ,Risedronate Sodium ,1,"$4,578,330.53","86,974","16,736","3,767",$52.64,$273.56,"$1,215.38"
Atenolol ,Atenolol ,15,"$87,437,788.61","876,444,927","12,415,254","2,519,474",$0.10,$7.04,$34.70
Atenolol-Chlorthalidone ,Atenolol/Chlorthalidone ,2,"$16,883,607.23","40,290,544","688,725","143,880",$0.42,$24.51,$117.35
Ativan ,Lorazepam ,1,"$28,785,730.29","1,070,518","12,482","2,136",$26.69,"$2,306.18","$13,476.47"
Atorvastatin Calcium ,Atorvastatin Calcium ,14,"$755,763,518.63","2,488,075,884","44,402,142","9,404,753",$0.30,$17.02,$80.36
Atovaquone ,Atovaquone ,2,"$34,172,232.30","8,684,353","33,082","9,500",$3.94,"$1,032.96","$3,597.08"
Atovaquone-Proguanil HCl ,Atovaquone/Proguanil HCl ,4,"$5,337,986.64","1,428,349","51,008","46,688",$3.73,$104.65,$114.33
Atralin ,Tretinoin ,1,"$136,766.79","11,115",225,127,$12.30,$607.85,"$1,076.90"
Atripla ,Efavirenz/Emtricitab/Tenofovir ,1,"$533,215,828.60","6,652,121","210,317","24,773",$80.16,"$2,535.30","$21,524.07"
Atropine Sulfate ,Atropine Sulfate ,4,"$5,523,416.77","780,488","119,031","80,380",$7.08,$46.40,$68.72
Atrovent ,Ipratropium Bromide ,1,"$86,790.82","12,946",477,212,$6.92,$181.95,$409.39
Atrovent HFA ,Ipratropium Bromide ,1,"$122,397,932.22","5,249,501","333,049","98,342",$23.32,$367.51,"$1,244.62"
Aubagio ,Teriflunomide ,1,"$450,259,265.38","2,162,266","63,507","9,267",$208.24,"$7,089.92","$48,587.38"
Augmentin ,Amoxicillin/Potassium Clav ,1,"$47,984.02","1,323",84,76,$36.27,$571.24,$631.37
Auryxia ,Ferric Citrate ,1,"$22,775,147.88","4,783,066","22,768","7,100",$4.76,"$1,000.31","$3,207.77"
Autoshield Duo Pen Needle ,"Pen Needle,Dual Safety,Diabetc ",1,"$7,802,010.48","12,804,919","125,906","33,284",$0.61,$61.97,$234.41
Autoshield Pen Needle ,"Pen Needle, Diabetic, Safety ",1,"$26,786.11","55,689",443,227,$0.48,$60.47,$118.00
Avalide ,Irbesartan/Hydrochlorothiazide ,1,"$1,959,400.61","288,329","5,311","1,047",$6.81,$368.93,"$1,871.44"
Avandia ,Rosiglitazone Maleate ,1,"$936,602.13","191,886","2,911",699,$4.91,$321.75,"$1,339.92"
Avapro ,Irbesartan ,1,"$4,842,144.38","798,376","14,905","2,985",$6.13,$324.87,"$1,622.16"
